ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город;Населённый пункт;E-mail;Телефоны;Сайт;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0107005202;010701001;1020100863430;"ГБО ДО РА ""ДШИ А. ГАБУКАЙ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ АУЛА ГАБУКАЙ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Сташ Алий Асланович;;;;;
0107005210;010701001;1020100864300;"ГБО ДО РА ""ДШИ А. ПОНЕЖУКАЙ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ АУЛА ПОНЕЖУКАЙ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Багова Фатима Нурбиевна;;;;;
0106008497;010701001;1020100826360;"ГБО ДО РА ""ДШИ А. ТАХТАМУКАЙ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ АУЛА ТАХТАМУКАЙ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Тугуз Нурбий Азаматович;;;;;
0107005273;010701001;1020100862968;"ГБО ДО РА ""ДШИ Г. АДЫГЕЙСКА""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ГОРОДА АДЫГЕЙСКА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Тлехатук Эмма Газаватовна;;;;;
0104009230;010401001;1020100706240;"ГБО ДО РА ""ДШИ П. КАМЕННОМОСТСКОГО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ПОСЕЛКА КАМЕННОМОСТСКОГО""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Зеленько Марина Валерьевна;;;;;
0104009463;010401001;1020100710794;"ГБО ДО РА ""ДШИ П. ТУЛЬСКОГО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ПОСЕЛКА ТУЛЬСКОГО""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Гучетль Батыр Юрьевич;;;;;
0105031895;010501001;1020100700322;"ГБО ДО РА ""ДШИ № 1""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ № 1""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Грачева Лариса Александровна;;;;;
0105034053;010501001;1020100697154;"ГБО ДО РА ""ДШИ № 3""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ № 3""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Берсекова Бэла Валерьевна;;;;;
0105034046;010501001;1030100529359;"ГБО ДО РА ""ДШИ № 6""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ № 6""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Гордиенко Дмитрий Павлович;;;;;
0105082089;010501001;1200100000055;"ГБО ДО РА ""СШ ПО ВОЛЬНОЙ БОРЬБЕ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ПО ВОЛЬНОЙ БОРЬБЕ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Керашев Бислан Асланович;;;;;
0105038259;010501001;1020100706768;"ГБО ДО РА ""СШ ПО КОННОМУ СПОРТУ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ПО КОННОМУ СПОРТУ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Алексеев Александр Леонидович;;;;;
0105028010;010501001;1020100707230;"ГБО ДО РА ""СШ ПО ФУТБОЛУ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ПО ФУТБОЛУ""";;;Республика Адыгея (Адыгея);;;;;;;директор;Хабаху Рустем Анзаурович;;;;;
0105033349;010501001;1020100711839;"ГБО ДО РА ""СШ № 3""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА № 3""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Тюльпаров Магомет Капланович;;;;;
0105067997;010501001;1130105000123;"ГБО ДО РА ""СШАС ПАРАЛИМПИЙСКОГО И СУРДЛИМПИЙСКОГО РЕЗЕРВА""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ПО АДАПТИВНОМУ СПОРТУ ПАРАЛИМПИЙСКОГО И СУРДЛИМПИЙСКОГО РЕЗЕРВА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Нагиев Заур Русланович;;;;;
0105027962;010501001;1020100704854;"ГБО ДО РА ""СШОР ПО БОРЬБЕ ДЗЮДО ИМ.Я.К.КОБЛЕВА""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО БОРЬБЕ ДЗЮДО ИМ.Я.К.КОБЛЕВА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Арданов Адам Аскарбиевич;;;;;
0105027955;010501001;1020100704821;"ГБО ДО РА ""СШОР ПО БОРЬБЕ САМБО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО БОРЬБЕ САМБО""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Делок Адам Азметович;;;;;
0105041621;010501001;1040100529567;"ГБО ДО РА ""СШОР ПО ВЕЛОСИПЕДНОМУ СПОРТУ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ВЕЛОСИПЕДНОМУ СПОРТУ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Бибов Юрий Безрукович;;;;;
0105028028;010501001;1020100704557;"ГБО ДО РА ""СШОР ПО ТЯЖЕЛОЙ АТЛЕТИКЕ ИМ. М.Н. КИРЖИНОВА""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ТЯЖЕЛОЙ АТЛЕТИКЕ ИМЕНИ М.Н. КИРЖИНОВА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Сиюхов Рамазан Султанович;;;;;
0105028003;010501001;1020100704381;"ГБО ДО РА ""СШОР № 1""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 1""";;;Республика Адыгея (Адыгея);;;;;;;Исполняющий обязанности директора;Потоцкая Екатерина Олеговна;;;;;
0108003085;010101001;1020100511386;"ГБО ДО РА ""ШОВГЕНОВСКАЯ ДШИ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ШОВГЕНОВСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Бгуашева Сулиет Кушуковна;;;;;
0106009042;010701001;1020100824171;"ГБО ДО РА ""ЭНЕМСКАЯ ДШИ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ЭНЕМСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Лешина Светлана Алексеевна;;;;;
0106008070;010701001;1030100628030;"ГБО ДО РА ""ЯБЛОНОВСКАЯ ДШИ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ЯБЛОНОВСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Федченко Светлана Анатольевна;;;;;
0105027948;010501001;1020100707406;ГБО ДО РА РЕМШ;"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""РЕСПУБЛИКАНСКАЯ ЕСТЕСТВЕННО-МАТЕМАТИЧЕСКАЯ ШКОЛА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Беджанова Светлана Руслановна;;;;;
0103005466;010101001;1020100509142;"ГБОДО РА ""ДШИ ИМ. М. ХАГАУДЖА А. КОШЕХАБЛЬ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ МАГАМЕТА ХАГАУДЖА АУЛА КОШЕХАБЛЬ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Зехохова Нуриет Юрьевна;;;;;
0103005402;010101001;1020100510110;"ГБОДО РА ""ДШИ С. НАТЫРБОВО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ СЕЛА НАТЫРБОВО""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Батырбиева Сусана Туркубиевна;;;;;
0102003811;010101001;1050100511273;"ГБОДО РА ""ДШИ СЕЛА КРАСНОГВАРДЕЙСКОГО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ СЕЛА КРАСНОГВАРДЕЙСКОГО""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Читао Ирина Каплановна;;;;;
0105082113;010501001;1200100000100;"ГБОДО РА ""СШ ПО ПУЛЕВОЙ И СТЕНДОВОЙ СТРЕЛЬБЕ ИМЕНИ С.Г. АЛИФИРЕНКО""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ПО ПУЛЕВОЙ И СТЕНДОВОЙ СТРЕЛЬБЕ ИМЕНИ С.Г. АЛИФИРЕНКО""";;;Республика Адыгея (Адыгея);;;;;;;Временно исполняющий обязанности директора;Кохужев Рустем Галимович;;;;;
0105044171;010501001;1050100531854;"ГБОДО РА ""СШОР № 2""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 2""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Хот Юнус Исмаилович;;;;;
0105033444;010501001;1020100700124;"ГБОУ ""АДЫГЕЙСКАЯ РЕСПУБЛИКАНСКАЯ ГИМНАЗИЯ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""АДЫГЕЙСКАЯ РЕСПУБЛИКАНСКАЯ ГИМНАЗИЯ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Чич Нуриет Шамсудиновна;;;;;
0102001973;010101001;1020100862033;"ГБУ РА ""АДИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""АДАМИЙСКИЙ ДОМ-ИНТЕРНАТ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Ягумова Мариет Хангериевна;;;;;
0101005703;010101001;1050100523659;"ГБУ РА ""ГИАГИНСКИЙ ДОМ-ИНТЕРНАТ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""ГИАГИНСКИЙ ДОМ-ИНТЕРНАТ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Юник Алексей Леонидович;;;;;
0105028405;010501001;1020100696087;"ГБУ РА ""МДИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""МАЙКОПСКИЙ ДОМ-ИНТЕРНАТ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Хоконов Байзет Нурбиевич;;;;;
0101003914;010101001;1020100509736;ГИАГИНСКАЯ ДЮСШ ИМ. А.Ж. ГАЛСТЯНА;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ГИАГИНСКАЯ ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА ИМЕНИ ОЛИМПИЙСКОГО ЧЕМПИОНА АРСЕНА ЖОРАЕВИЧА ГАЛСТЯНА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Галстян Арман Жораевич;;;;;
0105033490;010501001;1020100711729;"ГКОУ РА ""АРШИДНСИЗ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""АДЫГЕЙСКАЯ РЕСПУБЛИКАНСКАЯ ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С НАРУШЕНИЯМИ СЛУХА И ЗРЕНИЯ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Чумаков Роман Николаевич;;;;;
0105043682;010501001;1040100551336;"ГКОУ РА ""ШКОЛА ДЛЯ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""ШКОЛА ДЛЯ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Нестеренко Ирина Евгеньевна;;;;;
0105023238;010501001;1020100709452;КОРПУС ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПУС""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Стряпшева Галина Петровна;;;;;
0105032151;010501001;1020100709309;"МБОУ  ""ЛИЦЕЙ № 8""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 8 ИМЕНИ ЖЕНИ ПОПОВА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Осерская Эмма Владимировна;;;;;
0102002127;010101001;1020100862209;"МБОУ ""ГИМНАЗИЯ №1""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "" ГИМНАЗИЯ  № 1""  С. КРАСНОГВАРДЕЙСКОГО КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";;;Республика Адыгея (Адыгея);;;;;;;Директор;Ляшенко Ирина Ивановна;;;;;
0108003293;010101001;1020100511001;"МБОУ ""КСОШ №9"" Х.ТИХОНОВ ШОВГЕНОВСКОГО РАЙОНА РА";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАСНОБАШНЕНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 9"" Х.ТИХОНОВ ШОВГЕНОВСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";;;Республика Адыгея (Адыгея);;;;;;;Директор;Кондратьев Алексей Николаевич;;;;;
0105032144;010501001;1020100708924;"МБОУ ""ЛИЦЕЙ № 19""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 19""";;;Республика Адыгея (Адыгея);;;;;;;Исполняющая обязанности директора;Кадырова Фатима Юрьевна;;;;;
0105033250;010501001;1020100694888;"МБОУ ""ЛИЦЕЙ № 34""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 34""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Мугу Бэла Руслановна;;;;;
0105037255;010501001;1020100709650;"МБОУ ""ЛИЦЕЙ № 35""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЭКОЛОГО-БИОЛОГИЧЕСКИЙ ЛИЦЕЙ № 35""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Эйхвальд Анастасия Романовна;;;;;
0105033451;010501001;1020100708561;"МБОУ ""МАЙКОПСКАЯ ГИМНАЗИЯ № 22""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МАЙКОПСКАЯ ГИМНАЗИЯ № 22""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Андреева Ирина Витальевна;;;;;
0105032049;010501001;1020100708682;"МБОУ ""МАЙКОПСКАЯ ГИМНАЗИЯ № 5""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МАЙКОПСКАЯ ГИМНАЗИЯ № 5 ИМЕНИ ЕВГЕНИЯ ЛЬВОВИЧА ШВАРЦА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Бородкина Надежда Григорьевна;;;;;
